Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
Q9Y5S1	TRPV2_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 2 (TrpV2) (Osm-9-like TRP channel 2) (OTRPC2) (Vanilloid receptor-like protein 1) (VRL-1)	TRPV2 VRL	Homo sapiens (Human)	2005-04-26	2019-01-16	calcium ion transmembrane transport [GO:0070588]; positive regulation of axon extension [GO:0045773]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cold-induced thermogenesis [GO:0120162]; response to heat [GO:0009408]; response to temperature stimulus [GO:0009266]; sensory perception [GO:0007600]	51393	2F37
Q96IY4	CBPB2_HUMAN	reviewed	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	Homo sapiens (Human)	2005-04-26	2019-01-16	blood coagulation [GO:0007596]; cellular response to glucose stimulus [GO:0071333]; fibrinolysis [GO:0042730]; liver regeneration [GO:0097421]; negative regulation of fibrinolysis [GO:0051918]; negative regulation of hepatocyte proliferation [GO:2000346]; negative regulation of plasminogen activation [GO:0010757]; positive regulation of extracellular matrix constituent secretion [GO:0003331]; proteolysis [GO:0006508]; regulation of complement activation [GO:0030449]; response to drug [GO:0042493]; response to heat [GO:0009408]	1361	4P10
Q9BWF3	RBM4_HUMAN	reviewed	RNA-binding protein 4 (Lark homolog) (hLark) (RNA-binding motif protein 4) (RNA-binding motif protein 4a)	RBM4 RBM4A	Homo sapiens (Human)	2005-04-12	2019-01-16	cap-independent translational initiation [GO:0002190]; cell differentiation [GO:0030154]; circadian regulation of translation [GO:0097167]; entrainment of circadian clock by photoperiod [GO:0043153]; IRES-dependent translational initiation of linear mRNA [GO:0002192]; miRNA mediated inhibition of translation [GO:0035278]; mRNA cis splicing, via spliceosome [GO:0045292]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; negative regulation of translation in response to stress [GO:0032055]; positive regulation of muscle cell differentiation [GO:0051149]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of nucleocytoplasmic transport [GO:0046822]; response to arsenic-containing substance [GO:0046685]; RNA processing [GO:0006396]	5936	2DNQ
Q9BUK0	CHCH7_HUMAN	reviewed	Coiled-coil-helix-coiled-coil-helix domain-containing protein 7	CHCHD7	Homo sapiens (Human)	2005-04-12	2019-01-16		79145	2LQT
Q9UGK3	STAP2_HUMAN	reviewed	Signal-transducing adaptor protein 2 (STAP-2) (Breast tumor kinase substrate) (BRK substrate)	STAP2 BKS	Homo sapiens (Human)	2005-04-12	2019-01-16	positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]	55620	2EL8
Q9P0L2	MARK1_HUMAN	reviewed	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	MARK1 KIAA1477 MARK	Homo sapiens (Human)	2005-04-12	2019-01-16	cytoskeleton organization [GO:0007010]; establishment of cell polarity [GO:0030010]; establishment of mitochondrion localization [GO:0051654]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization [GO:0000226]; neuron migration [GO:0001764]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of dendrite development [GO:0050773]; regulation of neuron projection development [GO:0010975]; Wnt signaling pathway [GO:0016055]	4139	3OSE
Q9BQ04	RBM4B_HUMAN	reviewed	RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30)	RBM4B RBM30	Homo sapiens (Human)	2005-04-12	2019-01-16	circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; entrainment of circadian clock by photoperiod [GO:0043153]; mRNA cis splicing, via spliceosome [GO:0045292]; positive regulation of gene expression [GO:0010628]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of translation [GO:0006417]	83759	2DGT
Q9BSY4	CHCH5_HUMAN	reviewed	Coiled-coil-helix-coiled-coil-helix domain-containing protein 5	CHCHD5 C2orf9	Homo sapiens (Human)	2005-04-12	2019-01-16		84269	2LQL
Q7KZI7	MARK2_HUMAN	reviewed	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	MARK2 EMK1	Homo sapiens (Human)	2005-04-12	2019-01-16	activation of protein kinase activity [GO:0032147]; autophagy of mitochondrion [GO:0000422]; axon development [GO:0061564]; establishment of cell polarity [GO:0030010]; establishment or maintenance of cell polarity regulating cell shape [GO:0071963]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization [GO:0000226]; mitochondrion localization [GO:0051646]; neuron migration [GO:0001764]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of neuron projection development [GO:0010976]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of axonogenesis [GO:0050770]; regulation of cytoskeleton organization [GO:0051493]; regulation of microtubule binding [GO:1904526]; regulation of microtubule cytoskeleton organization [GO:0070507]; Wnt signaling pathway [GO:0016055]	2011	3IEC
O60869	EDF1_HUMAN	reviewed	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)	EDF1	Homo sapiens (Human)	2005-04-12	2019-01-16	endothelial cell differentiation [GO:0045446]; multicellular organism development [GO:0007275]; positive regulation of DNA binding [GO:0043388]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of lipid metabolic process [GO:0019216]; regulation of transcription, DNA-templated [GO:0006355]	8721	1X57
Q07666	KHDR1_HUMAN	reviewed	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)	2005-04-12	2019-01-16	cell cycle arrest [GO:0007050]; cell proliferation [GO:0008283]; cell surface receptor signaling pathway [GO:0007166]; G2/M transition of mitotic cell cycle [GO:0000086]; mRNA processing [GO:0006397]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of RNA export from nucleus [GO:0046833]; positive regulation of translational initiation [GO:0045948]; protein complex oligomerization [GO:0051259]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA export from nucleus [GO:0046831]; signal transduction [GO:0007165]; spermatogenesis [GO:0007283]	10657	2XA6
Q9UMZ2	SYNRG_HUMAN	reviewed	Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)	SYNRG AP1GBP1 SYNG	Homo sapiens (Human)	2005-03-29	2019-01-16	endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]	11276	2MX7
Q96HU8	DIRA2_HUMAN	reviewed	GTP-binding protein Di-Ras2 (Distinct subgroup of the Ras family member 2)	DIRAS2	Homo sapiens (Human)	2005-03-29	2019-01-16	signal transduction [GO:0007165]	54769	2ERX
O95057	DIRA1_HUMAN	reviewed	GTP-binding protein Di-Ras1 (Distinct subgroup of the Ras family member 1) (Ras-related inhibitor of cell growth) (Rig) (Small GTP-binding tumor suppressor 1)	DIRAS1 GBTS1 RIG	Homo sapiens (Human)	2005-03-29	2019-01-16	signal transduction [GO:0007165]	148252	2GF0
Q9Y266	NUDC_HUMAN	reviewed	Nuclear migration protein nudC (Nuclear distribution protein C homolog)	NUDC	Homo sapiens (Human)	2005-03-29	2019-01-16	cell cycle [GO:0007049]; cell division [GO:0051301]; cell proliferation [GO:0008283]; developmental process [GO:0032502]; multicellular organism development [GO:0007275]; protein folding [GO:0006457]	10726	3QOR
O75391	SPAG7_HUMAN	reviewed	Sperm-associated antigen 7	SPAG7	Homo sapiens (Human)	2005-03-29	2019-01-16		9552	2CPM
Q9BY49	PECR_HUMAN	reviewed	Peroxisomal trans-2-enoyl-CoA reductase (TERP) (EC 1.3.1.38) (2,4-dienoyl-CoA reductase-related protein) (DCR-RP) (HPDHase) (Short chain dehydrogenase/reductase family 29C member 1) (pVI-ARL)	PECR SDR29C1 PRO1004	Homo sapiens (Human)	2005-03-29	2019-01-16	fatty acid alpha-oxidation [GO:0001561]; fatty acid biosynthetic process [GO:0006633]; oxidation-reduction process [GO:0055114]; phytol metabolic process [GO:0033306]; protein targeting to peroxisome [GO:0006625]	55825	1YXM
Q8WYN0	ATG4A_HUMAN	reviewed	Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagin-2) (Autophagy-related cysteine endopeptidase 2) (Autophagy-related protein 4 homolog A) (hAPG4A)	ATG4A APG4A AUTL2	Homo sapiens (Human)	2005-03-15	2019-01-16	autophagosome assembly [GO:0000045]; protein delipidation [GO:0051697]; protein transport [GO:0015031]; proteolysis [GO:0006508]	115201	2P82
Q5JSP0	FGD3_HUMAN	reviewed	FYVE, RhoGEF and PH domain-containing protein 3 (Zinc finger FYVE domain-containing protein 5)	FGD3 ZFYVE5	Homo sapiens (Human)	2005-03-15	2019-01-16	actin cytoskeleton organization [GO:0030036]; cytoskeleton organization [GO:0007010]; filopodium assembly [GO:0046847]; G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of apoptotic process [GO:0043065]; regulation of cell shape [GO:0008360]; regulation of GTPase activity [GO:0043087]; regulation of Rho protein signal transduction [GO:0035023]; regulation of small GTPase mediated signal transduction [GO:0051056]	89846	2COC
Q8WXE0	CSKI2_HUMAN	reviewed	Caskin-2 (CASK-interacting protein 2)	CASKIN2 KIAA1139	Homo sapiens (Human)	2005-03-15	2019-01-16		57513	2KE9
Q8IX01	SUGP2_HUMAN	reviewed	SURP and G-patch domain-containing protein 2 (Arginine/serine-rich-splicing factor 14) (Splicing factor, arginine/serine-rich 14)	SUGP2 KIAA0365 SFRS14	Homo sapiens (Human)	2005-03-15	2019-01-16	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	10147	1X4P
O60888	CUTA_HUMAN	reviewed	Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor)	CUTA ACHAP C6orf82	Homo sapiens (Human)	2005-03-15	2019-01-16	protein localization [GO:0008104]; response to metal ion [GO:0010038]	51596	2ZFH
O14792	HS3S1_HUMAN	reviewed	Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1)	HS3ST1 3OST 3OST1	Homo sapiens (Human)	2005-03-15	2019-01-16	glycosaminoglycan biosynthetic process [GO:0006024]	9957	1ZRH
Q96GD3	SCMH1_HUMAN	reviewed	Polycomb protein SCMH1 (Sex comb on midleg homolog 1)	SCMH1	Homo sapiens (Human)	2005-03-01	2019-01-16	anterior/posterior pattern specification [GO:0009952]; chromatin remodeling [GO:0006338]; gene silencing [GO:0016458]; negative regulation of transcription, DNA-templated [GO:0045892]; spermatogenesis [GO:0007283]	22955	2P0K
O95453	PARN_HUMAN	reviewed	Poly(A)-specific ribonuclease PARN (EC 3.1.13.4) (Deadenylating nuclease) (Deadenylation nuclease) (Polyadenylate-specific ribonuclease)	PARN DAN	Homo sapiens (Human)	2005-03-01	2019-01-16	box H/ACA snoRNA 3'-end processing [GO:0000495]; female gamete generation [GO:0007292]; miRNA catabolic process [GO:0010587]; ncRNA deadenylation [GO:0110008]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere maintenance via telomerase [GO:0032212]; regulation of mRNA stability [GO:0043488]; regulation of telomerase RNA localization to Cajal body [GO:1904872]; RNA modification [GO:0009451]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]; telomerase RNA stabilization [GO:0090669]	5073	3CTR
Q8IU60	DCP2_HUMAN	reviewed	m7GpppN-mRNA hydrolase (EC 3.6.1.62) (Nucleoside diphosphate-linked moiety X motif 20) (Nudix motif 20) (mRNA-decapping enzyme 2) (hDpc)	DCP2 NUDT20	Homo sapiens (Human)	2005-03-01	2019-01-16	deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]; histone mRNA catabolic process [GO:0071044]; mRNA catabolic process [GO:0006402]; negative regulation of telomere maintenance via telomerase [GO:0032211]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; regulation of mRNA stability [GO:0043488]; regulation of telomerase RNA localization to Cajal body [GO:1904872]	167227	5MP0
Q9H1J1	REN3A_HUMAN	reviewed	Regulator of nonsense transcripts 3A (Nonsense mRNA reducing factor 3A) (Up-frameshift suppressor 3 homolog A) (hUpf3)	UPF3A RENT3A UPF3	Homo sapiens (Human)	2005-03-01	2019-01-16	mRNA transport [GO:0051028]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of translation [GO:0045727]	65110	2L08
Q9NZC9	SMAL1_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 (EC 3.6.4.-) (HepA-related protein) (hHARP) (Sucrose nonfermenting protein 2-like 1)	SMARCAL1 HARP	Homo sapiens (Human)	2005-03-01	2019-01-16	cellular response to DNA damage stimulus [GO:0006974]; DNA metabolic process [GO:0006259]; DNA repair [GO:0006281]; DNA rewinding [GO:0036292]; regulation of transcription by RNA polymerase II [GO:0006357]; replication fork processing [GO:0031297]; replication fork protection [GO:0048478]; t-circle formation [GO:0090656]	50485	4MQV
Q9UBT6	POLK_HUMAN	reviewed	DNA polymerase kappa (EC 2.7.7.7) (DINB protein) (DINP)	POLK DINB1	Homo sapiens (Human)	2005-02-15	2019-01-16	cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; error-prone translesion synthesis [GO:0042276]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; transcription-coupled nucleotide-excision repair [GO:0006283]; translesion synthesis [GO:0019985]	51426	2LSI
Q9NY25	CLC5A_HUMAN	reviewed	C-type lectin domain family 5 member A (C-type lectin superfamily member 5) (Myeloid DAP12-associating lectin 1) (MDL-1)	CLEC5A CLECSF5 MDL1	Homo sapiens (Human)	2005-02-15	2019-01-16	cellular defense response [GO:0006968]; innate immune response [GO:0045087]; myeloid cell differentiation [GO:0030099]; negative regulation of apoptotic process [GO:0043066]; negative regulation of myeloid cell apoptotic process [GO:0033033]; neutrophil degranulation [GO:0043312]; osteoblast development [GO:0002076]; positive regulation of cytokine secretion [GO:0050715]; signal transduction [GO:0007165]	23601	2YHF
Q9NXR8	ING3_HUMAN	reviewed	Inhibitor of growth protein 3 (p47ING3)	ING3 HSPC301	Homo sapiens (Human)	2005-02-15	2019-01-16	histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; positive regulation of apoptotic process [GO:0043065]; regulation of growth [GO:0040008]	54556	1X4I
Q8WXI8	CLC4D_HUMAN	reviewed	C-type lectin domain family 4 member D (C-type lectin superfamily member 8) (C-type lectin-like receptor 6) (CLEC-6) (CD antigen CD368)	CLEC4D CLECSF8 MCL	Homo sapiens (Human)	2005-02-15	2019-01-16	adaptive immune response [GO:0002250]; defense response to bacterium [GO:0042742]; Fc-gamma receptor signaling pathway [GO:0038094]; innate immune response [GO:0045087]; neutrophil degranulation [GO:0043312]; positive regulation of myeloid dendritic cell activation [GO:0030887]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell differentiation involved in immune response [GO:0002292]	338339	2LS8
O75629	CREG1_HUMAN	reviewed	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	CREG1 CREG UNQ727/PRO1409	Homo sapiens (Human)	2005-02-15	2019-01-16	cell proliferation [GO:0008283]; multicellular organism development [GO:0007275]; neutrophil degranulation [GO:0043312]; regulation of growth [GO:0040008]; regulation of transcription by RNA polymerase II [GO:0006357]	8804	1XHN
Q9HAP6	LIN7B_HUMAN	reviewed	Protein lin-7 homolog B (Lin-7B) (hLin7B) (Mammalian lin-seven protein 2) (MALS-2) (Vertebrate lin-7 homolog 2) (Veli-2) (hVeli2)	LIN7B MALS2 VELI2 UNQ3116/PRO10200	Homo sapiens (Human)	2005-02-15	2019-01-16	exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; neurotransmitter secretion [GO:0007269]; protein localization to basolateral plasma membrane [GO:1903361]; protein transport [GO:0015031]	64130	2DKR
Q6UWN8	ISK6_HUMAN	reviewed	Serine protease inhibitor Kazal-type 6 (Kallikrein inhibitor)	SPINK6 UNQ844/PRO1782	Homo sapiens (Human)	2005-02-01	2019-01-16	cornification [GO:0070268]; negative regulation of serine-type endopeptidase activity [GO:1900004]	404203	2N52
Q96JP5	ZFP91_HUMAN	reviewed	E3 ubiquitin-protein ligase ZFP91 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZFP91) (Zinc finger protein 757) (Zinc finger protein 91 homolog) (Zfp-91)	ZFP91 ZNF757 FKSG11	Homo sapiens (Human)	2005-02-01	2019-01-16	activation of NF-kappaB-inducing kinase activity [GO:0007250]; protein K63-linked ubiquitination [GO:0070534]	80829	2M9A
Q86SX6	GLRX5_HUMAN	reviewed	Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)	GLRX5 C14orf87	Homo sapiens (Human)	2005-02-01	2019-01-16	cell redox homeostasis [GO:0045454]; hemopoiesis [GO:0030097]; protein lipoylation [GO:0009249]; small molecule metabolic process [GO:0044281]	51218	2MMZ
Q8IUC4	RHPN2_HUMAN	reviewed	Rhophilin-2 (76 kDa RhoB effector protein) (GTP-Rho-binding protein 2) (p76RBE)	RHPN2	Homo sapiens (Human)	2005-02-01	2019-01-16	signal transduction [GO:0007165]	85415	2VSV
Q96AZ6	ISG20_HUMAN	reviewed	Interferon-stimulated gene 20 kDa protein (EC 3.1.13.1) (Estrogen-regulated transcript 45 protein) (Promyelocytic leukemia nuclear body-associated protein ISG20)	ISG20 HEM45	Homo sapiens (Human)	2005-01-04	2019-01-16	cell proliferation [GO:0008283]; defense response to virus [GO:0051607]; DNA catabolic process, exonucleolytic [GO:0000738]; negative regulation of viral genome replication [GO:0045071]; response to virus [GO:0009615]; RNA catabolic process [GO:0006401]; rRNA processing [GO:0006364]; type I interferon signaling pathway [GO:0060337]	3669	1WLJ
Q7Z698	SPRE2_HUMAN	reviewed	Sprouty-related, EVH1 domain-containing protein 2 (Spred-2)	SPRED2	Homo sapiens (Human)	2005-01-04	2019-01-16	fibroblast growth factor receptor signaling pathway [GO:0008543]; inactivation of MAPK activity [GO:0000188]; multicellular organism development [GO:0007275]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; positive regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043517]; regulation of protein deacetylation [GO:0090311]	200734	2JP2
Q8WYH8	ING5_HUMAN	reviewed	Inhibitor of growth protein 5 (p28ING5)	ING5	Homo sapiens (Human)	2005-01-04	2019-01-16	DNA replication [GO:0006260]; histone H3 acetylation [GO:0043966]; negative regulation of cell proliferation [GO:0008285]; negative regulation of growth [GO:0045926]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of transcription, DNA-templated [GO:0045893]; protein acetylation [GO:0006473]; regulation of signal transduction by p53 class mediator [GO:1901796]	84289	3C6W
Q9UMX3	BOK_HUMAN	reviewed	Bcl-2-related ovarian killer protein (hBOK) (Bcl-2-like protein 9) (Bcl2-L-9)	BOK BCL2L9	Homo sapiens (Human)	2005-01-04	2019-01-16	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c [GO:0008635]; apoptotic process [GO:0006915]; brain development [GO:0007420]; cell proliferation [GO:0008283]; cellular component disassembly involved in execution phase of apoptosis [GO:0006921]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; male gonad development [GO:0008584]; negative regulation of mitochondrial depolarization [GO:0051902]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of necroptotic process [GO:0060546]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; oligodendrocyte differentiation [GO:0048709]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of PERK-mediated unfolded protein response [GO:1903899]; protein complex oligomerization [GO:0051259]; regulation of autophagy [GO:0010506]; regulation of chorionic trophoblast cell proliferation [GO:1901382]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of granulosa cell apoptotic process [GO:1904708]; release of cytochrome c from mitochondria [GO:0001836]	666	6CKV
Q8IVT5	KSR1_HUMAN	reviewed	Kinase suppressor of Ras 1	KSR1 KSR	Homo sapiens (Human)	2004-12-21	2019-01-16	cAMP-mediated signaling [GO:0019933]; MAPK cascade [GO:0000165]; positive regulation of MAPK cascade [GO:0043410]; Ras protein signal transduction [GO:0007265]; regulation of cell proliferation [GO:0042127]; regulation of MAP kinase activity [GO:0043405]	8844	5VYK
Q9Y3A3	PHOCN_HUMAN	reviewed	MOB-like protein phocein (2C4D) (Class II mMOB1) (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3)	MOB4 MOB3 MOBKL3 PHOCN PREI3 CGI-95	Homo sapiens (Human)	2004-12-21	2019-01-16		25843	5YF4
Q9Y2H1	ST38L_HUMAN	reviewed	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	Homo sapiens (Human)	2004-12-21	2019-01-16	intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of cellular component organization [GO:0051128]	23012	5XQZ
Q9UHD8	SEPT9_HUMAN	reviewed	Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)	SEPT9 KIAA0991 MSF	Homo sapiens (Human)	2004-12-21	2019-01-16	cilium assembly [GO:0060271]; cytoskeleton-dependent cytokinesis [GO:0061640]; positive regulation of non-motile cilium assembly [GO:1902857]; protein heterooligomerization [GO:0051291]	10801	5CYO
Q96NX5	KCC1G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	CAMK1G CLICK3 VWS1	Homo sapiens (Human)	2004-12-07	2019-01-16		57172	2JAM
Q9H211	CDT1_HUMAN	reviewed	DNA replication factor Cdt1 (Double parked homolog) (DUP)	CDT1	Homo sapiens (Human)	2004-12-07	2019-01-16	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; deactivation of mitotic spindle assembly checkpoint [GO:1902426]; DNA replication [GO:0006260]; DNA replication checkpoint [GO:0000076]; DNA replication preinitiation complex assembly [GO:0071163]; G1/S transition of mitotic cell cycle [GO:0000082]; kinetochore organization [GO:0051383]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281]; negative regulation of protein localization to kinetochore [GO:1905341]; positive regulation of chromatin binding [GO:0035563]; positive regulation of DNA-dependent DNA replication [GO:2000105]; positive regulation of DNA replication [GO:0045740]; positive regulation of mediator complex assembly [GO:2001178]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of protein localization to kinetochore [GO:1905342]; regulation of chromosome organization [GO:0033044]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; regulation of DNA replication origin binding [GO:1902595]; regulation of nuclear cell cycle DNA replication [GO:0033262]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; response to sorbitol [GO:0072708]	81620	2LE8
Q9ULJ6	ZMIZ1_HUMAN	reviewed	Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17)	ZMIZ1 KIAA1224 RAI17 ZIMP10	Homo sapiens (Human)	2004-12-07	2019-01-16	artery morphogenesis [GO:0048844]; cell aging [GO:0007569]; developmental growth [GO:0048589]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of T cell differentiation [GO:0045582]; positive regulation of transcription by RNA polymerase II [GO:0045944]; vasculogenesis [GO:0001570]; vitellogenesis [GO:0007296]	57178	5AIZ
O75928	PIAS2_HUMAN	reviewed	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.-) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein) (Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2)	PIAS2 PIASX	Homo sapiens (Human)	2004-12-07	2019-01-16	androgen receptor signaling pathway [GO:0030521]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; positive regulation of transcription, DNA-templated [GO:0045893]; protein sumoylation [GO:0016925]	9063	2ASQ
Q9Y221	NIP7_HUMAN	reviewed	60S ribosome subunit biogenesis protein NIP7 homolog (KD93)	NIP7 CGI-37 HSPC031 HSPC180 OK/SW-cl.76 OK/SW-cl.78	Homo sapiens (Human)	2004-12-07	2019-01-16	ribosomal large subunit biogenesis [GO:0042273]; ribosome assembly [GO:0042255]	51388	1SQW
Q8NHY2	COP1_HUMAN	reviewed	E3 ubiquitin-protein ligase COP1 (EC 2.3.2.27) (Constitutive photomorphogenesis protein 1 homolog) (hCOP1) (RING finger and WD repeat domain protein 2) (RING finger protein 200) (RING-type E3 ubiquitin transferase RFWD2)	COP1 RFWD2 RNF200	Homo sapiens (Human)	2004-11-23	2019-01-16	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; post-translational protein modification [GO:0043687]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to ionizing radiation [GO:0010212]	64326	5HQG
Q9BYJ4	TRI34_HUMAN	reviewed	Tripartite motif-containing protein 34 (Interferon-responsive finger protein 1) (RING finger protein 21)	TRIM34 IFP1 RNF21	Homo sapiens (Human)	2004-11-23	2019-01-16	defense response to virus [GO:0051607]; interferon-gamma-mediated signaling pathway [GO:0060333]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; protein trimerization [GO:0070206]	53840	2EGP
